zpid,monthly_homeowners_insurance,zip_code,monthly_hoa,purchase_price,living_area,lot_size,home_features_score,home
43287823,209.96079999999998,33023.0,0.0,599888.0,1699.0,10588.0,0.2721545100212097,type_SINGLE_FAMILY
43595188,134.75,33950.0,654.0,385000.0,1183.0,1457.0,0.040203601121902466,type_SINGLE_FAMILY
46867061,174.64999999999998,33404.0,867.0,499000.0,1047.0,1047.0,-0.1737149953842163,type_CONDO
114458501,96.21499999999999,32128.0,192.0,274900.0,1600.0,4356.0,-0.04647626727819443,type_TOWNHOUSE
45319961,104.47499999999998,34731.0,0.0,298500.0,1448.0,11249.0,-0.2341325581073761,type_SINGLE_FAMILY
245875979,192.14999999999998,34269.0,183.0,549000.0,1000.0,7800.0,-0.1188511773943901,type_SINGLE_FAMILY
48049451,143.5,32127.0,919.0,410000.0,1495.0,93218.0,-0.3151480257511139,type_CONDO
42850304,60.86500000000001,33063.0,614.0,173900.0,958.0,958.0,-0.5095040202140808,type_CONDO
47071270,61.215,34698.0,729.0,174900.0,670.0000000000001,71377.0,-0.26818186044692993,type_CONDO
47954097,192.14999999999998,32713.0,0.0,549000.0,2827.0,29016.0,0.07923293113708496,type_SINGLE_FAMILY
46658302,104.64999999999999,33433.0,769.0,299000.0,1368.0,1368.0,-0.3969762325286865,type_CONDO
43031795,85.75,33322.0,468.0,245000.0,1418.0,1418.0,-0.3148963153362274,type_CONDO
163946751,43.75,33772.0,548.0,125000.0,874.0,13801.0,-0.5875368118286133,type_CONDO
46335224,112.0,33542.0,0.0,320000.0,1594.0,10458.0,-0.20571750402450562,type_SINGLE_FAMILY
2071047074,-1.4210854715202004e-14,33955.0,19.0,359990.0,1829.0,1829.0,0.08375326544046405,type_SINGLE_FAMILY
66679287,122.14999999999999,32955.0,62.99999999999997,349000.0,1638.0,3484.0,-0.20244190096855164,type_TOWNHOUSE
46801659,174.64999999999998,33408.0,1031.0,499000.0,1301.0,1301.0,-0.3670300245285034,type_CONDO
47928619,104.99964999999999,32180.0,0.0,299999.0,2284.0,23087.0,-0.4208187460899353,type_SINGLE_FAMILY
43365038,113.75,33009.0,566.0,325000.0,1050.0,1050.0,-0.02237159013748169,type_CONDO
43180588,70.52499999999999,33328.0,482.0,201500.0,900.0,900.0,0.030349398031830788,type_CONDO
344772926,105.0,32724.0,183.0,300000.0,1257.0,2168.0,-0.2193613350391388,type_TOWNHOUSE
45089695,101.14999999999999,33619.0,0.0,289000.0,1150.0,6700.0,-0.48903122544288635,type_SINGLE_FAMILY
339917924,122.5,32696.0,0.0,350000.0,1530.0,10019.0,-0.16163001954555511,type_SINGLE_FAMILY
58442234,180.6,33351.0,67.00000000000003,516000.0,1689.0,3018.0,-0.1421990692615509,type_SINGLE_FAMILY
2064149675,-1.4210854715202004e-14,33844.0,0.0,325990.0,1828.0,1828.0,-0.09618960320949554,type_SINGLE_FAMILY
48054307,119.0,32129.0,0.0,340000.0,1514.0,9147.0,-0.49590057134628296,type_SINGLE_FAMILY
70734605,87.14999999999999,32401.0,0.0,249000.0,816.0000000000001,9147.0,-0.38742899894714355,type_SINGLE_FAMILY
338174534,664.9999999999999,32696.0,0.0,1900000.0,2280.0,2178871.0,-0.01518330443650484,type_SINGLE_FAMILY
2052949700,106.8725,32405.0,145.0,305350.0,1477.0,1306.0,-0.3938933312892914,type_TOWNHOUSE
2052961721,106.8725,32405.0,145.0,305350.0,1477.0,1287.0,-0.3938933312892914,type_TOWNHOUSE
2052965593,106.8725,32405.0,145.0,305350.0,1477.0,1287.0,-0.3938933312892914,type_TOWNHOUSE
2052957809,106.8725,32405.0,145.0,305350.0,1477.0,1384.0,-0.3938933312892914,type_TOWNHOUSE
2052961866,106.8725,32405.0,145.0,305350.0,1477.0,1287.0,-0.3938933312892914,type_TOWNHOUSE
2052949737,106.8725,32405.0,145.0,305350.0,1477.0,1306.0,-0.3938933312892914,type_TOWNHOUSE
2052966510,106.8725,32405.0,145.0,305350.0,1477.0,1287.0,-0.3938933312892914,type_TOWNHOUSE
2052966992,106.8725,32405.0,145.0,305350.0,1477.0,1287.0,-0.3938933312892914,type_TOWNHOUSE
2053760023,106.8725,32405.0,145.0,305350.0,1477.0,1287.0,-0.3938933312892914,type_TOWNHOUSE
2052957752,106.8725,32405.0,145.0,305350.0,1477.0,1384.0,-0.3938933312892914,type_TOWNHOUSE
2052958996,106.8725,32405.0,145.0,305350.0,1477.0,1384.0,-0.3938933312892914,type_TOWNHOUSE
2052962234,106.8725,32405.0,145.0,305350.0,1477.0,1287.0,-0.3938933312892914,type_TOWNHOUSE
2054548166,106.8725,32405.0,145.0,305350.0,1477.0,1287.0,-0.3938933312892914,type_TOWNHOUSE
2052966024,106.8725,32405.0,145.0,305350.0,1477.0,1287.0,-0.3938933312892914,type_TOWNHOUSE
2052959399,106.8725,32405.0,145.0,305350.0,1477.0,1287.0,-0.3938933312892914,type_TOWNHOUSE
2052959237,106.8725,32405.0,145.0,305350.0,1477.0,1384.0,-0.3938933312892914,type_TOWNHOUSE
2052959295,106.8725,32405.0,145.0,305350.0,1477.0,1384.0,-0.3938933312892914,type_TOWNHOUSE
2052957648,106.8725,32405.0,145.0,305350.0,1477.0,1384.0,-0.3938933312892914,type_TOWNHOUSE
2052966429,106.8725,32405.0,145.0,305350.0,1477.0,1287.0,-0.3938933312892914,type_TOWNHOUSE
2052961913,106.8725,32405.0,145.0,305350.0,1477.0,1287.0,-0.3938933312892914,type_TOWNHOUSE
2052949679,106.8725,32405.0,145.0,305350.0,1477.0,1306.0,-0.3938933312892914,type_TOWNHOUSE
2052966881,106.8725,32405.0,145.0,305350.0,1477.0,1287.0,-0.3938933312892914,type_TOWNHOUSE
68117148,47.215,32701.0,409.0,134900.0,644.0,251.0,-0.42633408308029175,type_CONDO
104250476,123.55,32724.0,0.0,353000.0,1874.0,11249.0,-0.09921930730342865,type_SINGLE_FAMILY
48086497,118.125,32132.0,0.0,337500.0,1420.0,9583.0,-0.20497503876686096,type_SINGLE_FAMILY
70481948,44.80000000000001,32714.0,189.0,128000.0,420.0,312.0,-0.5184807181358337,type_CONDO
345284018,-1.4210854715202004e-14,32428.0,3.0,234990.0,1648.0,10018.0,-0.40640243887901306,type_SINGLE_FAMILY
43249268,67.725,33027.0,617.0,193500.0,986.0,986.0,-0.30882832407951355,type_CONDO
48048436,59.32499999999999,32119.0,400.0,169500.0,1386.0,74487.0,-0.4644659161567688,type_CONDO
345429922,99.39999999999999,33647.0,306.0,284000.0,1272.0,1248.0,-0.2384258657693863,type_TOWNHOUSE
54604666,69.96499999999999,32926.0,380.0,199900.00000000003,1067.0,4790.999999999998,-0.07563558220863342,type_CONDO
345441693,126.58064999999999,33837.0,14.0,361659.0,1820.0,6325.0,-0.29680436849594116,type_SINGLE_FAMILY
345441720,126.58064999999999,33837.0,14.0,361659.0,1820.0,6325.0,-0.29680436849594116,type_SINGLE_FAMILY
45108044,139.29999999999998,33605.0,0.0,398000.0,1616.0,9360.0,-0.08037812262773514,type_SINGLE_FAMILY
125938430,245.0,33896.0,629.0,700000.0,3063.0,6098.0,0.2708621621131897,type_SINGLE_FAMILY
2062777487,113.75,32095.0,60.99999999999997,325000.0,1442.0,1442.0,-0.313585102558136,type_TOWNHOUSE
43273926,69.9965,33026.0,570.0,199990.0,980.0,980.0,-0.49852120876312256,type_CONDO
45644842,187.25,32625.0,0.0,535000.0,962.0000000000001,9583.0,-0.03508000075817108,type_SINGLE_FAMILY
48060003,119.0,32127.0,0.0,340000.0,1640.0,11761.0,-0.25261369347572327,type_SINGLE_FAMILY
46727871,288.75,33432.0,234.0,825000.0,1460.0,6141.999999999998,0.20039321482181546,type_SINGLE_FAMILY
337955407,115.46499999999999,33541.0,20.0,329900.0,1605.0,5695.999999999998,-0.1606711745262146,type_SINGLE_FAMILY
47252778,122.14999999999999,33707.0,646.0,349000.0,1170.0,1170.0,-0.32804638147354126,type_CONDO
2087951331,145.25,33428.0,905.0,415000.0,1411.0,1411.0,-0.19453296065330505,type_CONDO
2055226355,139.965,32303.0,20.0,399900.0,2016.0,11249.0,-0.3302597999572754,type_MULTI_FAMILY
45611243,57.715,32304.0,0.0,164900.0,1288.0,6098.0,-0.36908096075057983,type_SINGLE_FAMILY
43430634,145.14499999999998,32955.0,18.0,414700.0,1972.0,8276.0,0.08035964518785477,type_SINGLE_FAMILY
43031912,90.99649999999998,33322.0,484.0,259990.0,964.9999999999999,965.0,-0.42913126945495605,type_CONDO
43014305,36.715,33313.0,347.0,104900.0,705.0,705.0,-0.37285205721855164,type_CONDO
2056245339,-1.4210854715202004e-14,33844.0,0.0,319990.0,1589.0,1589.0,-0.08905766159296036,type_SINGLE_FAMILY
43070275,131.25,33308.0,337.0,375000.0,1276.0,1276.0,-0.5286294221878052,type_CONDO
341900255,131.41765,33844.0,88.0,375479.0,2350.0,5432.000000000002,-0.25785791873931885,type_SINGLE_FAMILY
42857359,69.96499999999999,33063.0,620.0,199900.00000000003,1000.0,1000.0,-0.17746655642986298,type_CONDO
42870954,69.96499999999999,33063.0,388.0,199900.00000000003,990.0,990.0,-0.1971501260995865,type_CONDO
46638839,58.625,33434.0,490.0,167500.0,834.9999999999999,835.0,-0.5742738842964172,type_CONDO
44111705,143.15,33054.0,0.0,409000.0,720.0,9000.0,-0.05667206645011902,type_SINGLE_FAMILY
343921426,111.0305,33844.0,49.0,317230.0,1269.0,4399.999999999998,-0.23525914549827576,type_SINGLE_FAMILY
