zpid,street_address,zip_code,purchase_price,gross_rent_multiplier,break_even_ratio 5.0% Down,CoC_no_prepaids 5.0% Down,CoC 5.0% Down,adj_CoC_no_prepaids 5.0% Down,adj_CoC 5.0% Down,cap_rate 5.0% Down,adj_cap_rate 5.0% Down,break_even_ratio 10.0% Down,CoC_no_prepaids 10.0% Down,CoC 10.0% Down,adj_CoC_no_prepaids 10.0% Down,adj_CoC 10.0% Down,cap_rate 10.0% Down,adj_cap_rate 10.0% Down,break_even_ratio 20.0% Down,CoC_no_prepaids 20.0% Down,CoC 20.0% Down,adj_CoC_no_prepaids 20.0% Down,adj_CoC 20.0% Down,cap_rate 20.0% Down,adj_cap_rate 20.0% Down
46759705,475 Sherwood Forest Dr,33445,649900,13.081723027375201,1.153872026393287,-0.14413772699751964,-0.1481934232741516,-0.23939150577730214,-0.24612741912117655,-0.011762366935249251,-0.019535556656744862,1.0824699877976236,-0.04813110326669746,-0.048966020048154285,-0.10747746562295188,-0.10934184714730269,-0.006304214484976051,-0.014077404206471664,0.9200433260652342,0.026605532537820553,0.026866718820427498,-0.007230657373746013,-0.007301640674590249,0.006112090415570341,-0.0016610993059252741
42840027,10800 NW 40th St,33065,553000,12.992199981204774,1.1537709753552414,-0.14406847945396356,-0.14827997743463747,-0.2391679582549148,-0.24615946241356276,-0.011835637965679026,-0.0196483323598924,1.0828575671933895,-0.04848771507475161,-0.04936343328570948,-0.1078872540995957,-0.10983576483060459,-0.006377485515405842,-0.014190179909619216,0.9215424508978777,0.026224055246837068,0.02649249539101996,-0.007703193831790032,-0.007782046871238381,0.006038819385140567,-0.001773875009072807
46765899,251 NE 14th St,33444,2600000,12.995841330774152,1.1462968402286071,-0.14126554643775002,-0.14533879401671193,-0.23928598077880417,-0.24618554735016407,-0.011257204247498476,-0.019068281170575397,1.0753635570256803,-0.044931859193443904,-0.04572305910218616,-0.1054531686642063,-0.10731008130751565,-0.005799051797225268,-0.013610128720302189,0.9140032286236659,0.02904683151498403,0.02933440701316302,-0.0052403616439603475,-0.005292243365022508,0.006617253103321116,-0.0011938238197558059
42856984,2041 Barcelona Ter,33063,525000,13.005350772889418,1.154938830050415,-0.14473365737698615,-0.14895612657806626,-0.23957715621757655,-0.24656659586654606,-0.011913467983762208,-0.019720325126619344,1.0839536428627063,-0.049019753895146005,-0.04990398474149637,-0.10830271440297744,-0.11025630643902537,-0.006455315533489005,-0.014262172676346142,0.9224752423279545,0.025868078247999964,0.026132688518126904,-0.008010256204067112,-0.008092194879125362,0.005960989367057389,-0.0018458677757997482
46722808,840 E Park Dr,33432,4250000,12.99026799687011,1.1458052448881333,-0.141290988547458,-0.1453780562690096,-0.23964860303438273,-0.24658082199644177,-0.011224190672837845,-0.019037743614014314,1.074902381791311,-0.04476207956521057,-0.04555183414750276,-0.1054191312426035,-0.10727908151231381,-0.005766038222564638,-0.013579591163741106,0.9136112536023618,0.029223560448424127,0.029513204073849476,-0.0051118801812635156,-0.005162545585674257,0.006650266677981756,-0.0011632862631947125
46765803,714 S Lake Ave,33483,2899000,12.999533649017076,1.146622520777273,-0.141656933577568,-0.14574494379217998,-0.2397378904072869,-0.24665637240504848,-0.011279060059847561,-0.0190884977969983,1.0756690843384815,-0.04512423655195043,-0.04591923699778031,-0.10566375021976586,-0.10752533802604511,-0.0058209076095743694,-0.013630345346725107,0.9142629109873731,0.028959269377569787,0.029246061738793003,-0.0053306454130184295,-0.005383436399037827,0.0065953972909720306,-0.0012140404461787083
2065571470,4974 SW 31st Ter #4974,33312,374990,13.064032887402453,1.1601500891593854,-0.14667456855559552,-0.15088700661313623,-0.23977199953508924,-0.24665816055073528,-0.012258855327424718,-0.020039808419507175,1.08884460604456,-0.0511509488743735,-0.052064683133543614,-0.10967477221977923,-0.11163394597802202,-0.006800702877151525,-0.014581655969233985,0.9266375904838056,0.024236144734346047,0.024482693708683872,-0.009345349204368407,-0.0094404173881254,0.005615602023394882,-0.0021653510686875763
46767534,337 S Swinton Ave,33444,3850000,12.998149873732258,1.14650046502142,-0.14180612103744497,-0.14590593374053454,-0.24006944185890797,-0.24701018419186324,-0.011270870581164808,-0.01908092252921675,1.0755545814390899,-0.0451102396619514,-0.045905881757146244,-0.105721008533841,-0.10758568682786758,-0.005812718130891611,-0.013622770078943554,0.9141655894638316,0.02901325630497447,0.02930076373619751,-0.005300677444675025,-0.0053532046115618084,0.006603586769654784,-0.0012064651783971591
155997714,2323 NE 37th Rd,33033,420000,13.313046785850133,1.1636254771516459,-0.14831085184452544,-0.1521668681210073,-0.24090787000684097,-0.24717136762907005,-0.01229061084090507,-0.01996418226947649,1.0909608382168563,-0.05166491623530102,-0.052498569584426426,-0.10969006654230165,-0.11146000053236779,-0.006832458390631862,-0.014506029819203282,0.9256619901685019,0.024172955049015475,0.02439472953164931,-0.009046600123016972,-0.009129598046018487,0.005583846509914526,-0.0020897249186568947
2072158791,8950 NW 183rd St UNIT 8950,33018,525000,13.281724347298118,1.1608877426501507,-0.14758175690524677,-0.15145676076420064,-0.2412328800801451,-0.2475668495409998,-0.012113467983762208,-0.019800325126619344,1.0883940663600924,-0.05062820094630723,-0.05145012092903371,-0.10910352734005185,-0.1108747609140403,-0.006655315533489006,-0.014342172676346143,0.9234841272590283,0.025025505938891152,0.02525589821004329,-0.008365892104642655,-0.008442911002358805,0.005760989367057388,-0.0019258677757997482
